Age,Gender,Education Level,Job Title,Years of Experience
34.0,Male,Bachelor's,Senior Product Manager,7.0
37.0,Male,Bachelor's,Project Manager,10.0
29.0,Female,Bachelor's,Junior Designer,2.0
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0
33.0,Female,Master's,Marketing Manager,7.0
46.0,Male,Bachelor's,IT Manager,19.0
35.0,Male,Bachelor's,Senior Financial Manager,9.0
31.0,Male,Bachelor's,Sales Manager,4.0
32.0,Male,Master's,Senior Business Analyst,6.0
40.0,Female,Bachelor's,Office Manager,15.0
40.0,Male,Bachelor's,Senior Financial Analyst,12.0
36.0,Male,Bachelor's,Senior Operations Manager,9.0
38.0,Female,Bachelor's,Senior Project Manager,9.0
44.0,Male,Bachelor's,Senior Sales Manager,16.0
42.0,Female,Master's,Senior Graphic Designer,15.0
34.0,Female,Bachelor's,Junior Financial Analyst,5.0
51.0,Female,Master's,Director of Operations,23.0
51.0,Female,PhD,Director of Human Resources,23.0
29.0,Female,Bachelor's,Junior Sales Representative,1.5
42.0,Female,Master's,Senior Human Resources Manager,13.0
38.0,Female,Bachelor's,Senior Product Manager,10.0
41.0,Female,Master's,Senior Marketing Manager,13.0
39.0,Male,PhD,Senior Engineer,12.0
40.0,Female,Master's,Senior Human Resources Specialist,13.0
41.0,Male,Master's,Financial Manager,13.0
27.0,Female,Master's,Junior UX Designer,1.5
32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0
31.0,Female,Bachelor's,Junior Financial Analyst,3.0
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5
28.0,Male,Bachelor's,Junior Business Analyst,2.0
31.0,Male,Bachelor's,Junior Operations Analyst,3.0
45.0,Male,Master's,Director of Engineering,19.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0
36.0,Male,Bachelor's,Senior Business Analyst,8.0
34.0,Female,Bachelor's,Junior Marketing Analyst,6.0
37.0,Male,Bachelor's,Senior Financial Analyst,8.0
43.0,Male,Bachelor's,Senior Project Manager,16.0
31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0
51.0,Male,Bachelor's,Sales Director,22.0
29.0,Female,Bachelor's,Junior Marketing Analyst,2.0
30.0,Female,Bachelor's,Content Marketing Manager,3.0
31.0,Female,Bachelor's,Junior HR Coordinator,4.0
25.0,Female,Bachelor's,Data Entry Clerk,0.0
33.0,Male,Bachelor's,Junior Product Manager,4.0
39.0,Female,Master's,Senior Project Coordinator,13.0
33.0,Male,Bachelor's,Junior Business Analyst,4.0
29.0,Female,Bachelor's,Junior HR Generalist,3.0
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0
31.0,Female,Bachelor's,Accountant,4.0
35.0,Female,Bachelor's,HR Generalist,7.0
27.0,Male,Bachelor's,Junior Business Development Associate,1.5
28.0,Male,Bachelor's,Junior Financial Analyst,2.0
33.0,Female,Bachelor's,Junior Operations Manager,5.0
32.0,Female,Bachelor's,Junior Marketing Manager,4.0
43.0,Female,Master's,Senior Product Marketing Manager,14.0
35.0,Male,Bachelor's,Senior Operations Analyst,7.0
42.0,Female,PhD,Senior Marketing Manager,18.0
35.0,Male,Master's,Product Manager,7.0
37.0,Male,Bachelor's,Software Project Manager,9.0
36.0,Female,Bachelor's,Senior Marketing Manager,8.0
42.0,Female,Master's,Product Manager,12.0
33.0,Male,Bachelor's,Junior Operations Manager,4.0
50.0,Female,PhD,Director of Operations,22.0
29.0,Male,Master's,Software Developer,3.0
28.0,Male,Bachelor's,Junior Business Analyst,2.0
33.0,Male,Bachelor's,Junior Web Developer,5.0
41.0,Female,Master's,Data Analyst,13.0
27.0,Male,Bachelor's,Junior Product Manager,2.0
38.0,Female,Bachelor's,Senior Operations Coordinator,9.0
43.0,Male,Bachelor's,Senior Project Manager,15.0
29.0,Female,Bachelor's,Junior Business Development Associate,1.5
38.0,Female,Bachelor's,Senior Accountant,10.0
44.0,Male,Bachelor's,Senior Software Engineer,14.0
45.0,Male,Master's,Senior Software Developer,16.0
31.0,Male,Bachelor's,Junior Project Manager,4.0
30.0,Female,Bachelor's,Junior HR Coordinator,2.0
43.0,Male,Bachelor's,Supply Chain Manager,18.0
49.0,Female,Master's,Senior Financial Analyst,18.0
28.0,Male,Bachelor's,Junior Business Development Associate,2.0
47.0,Male,PhD,Research Scientist,22.0
47.0,Male,Bachelor's,Senior Sales Manager,20.0
47.0,Male,Master's,Director of Marketing,19.0
26.0,Male,Bachelor's,Junior Software Developer,1.0
45.0,Female,PhD,Senior UX Designer,16.0
34.0,Male,Master's,Business Development Manager,8.0
36.0,Female,Bachelor's,Recruiter,9.0
42.0,Male,Master's,Project Engineer,14.0
25.0,Female,Master's,Junior Marketing Specialist,1.5
33.0,Female,Bachelor's,Junior Operations Analyst,5.0
31.0,Female,Bachelor's,Customer Service Representative,5.0
48.0,Male,Master's,Director of Marketing,21.0
48.0,Male,Master's,Director of Marketing,21.0
37.0,Male,Bachelor's,Senior Marketing Analyst,9.0
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0
26.0,Male,Bachelor's,Junior Accountant,2.0
42.0,Female,PhD,Senior Data Scientist,16.0
45.0,Female,PhD,Senior Product Designer,15.0
27.0,Male,Bachelor's,Junior Account Manager,2.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0
44.0,Female,PhD,Senior UX Designer,15.0
43.0,Female,PhD,Senior Data Scientist,15.0
29.0,Female,Bachelor's,Junior Marketing Specialist,2.0
41.0,Female,Bachelor's,Senior Project Coordinator,11.0
29.0,Female,Bachelor's,Junior Sales Representative,2.0
45.0,Female,Master's,Senior Marketing Manager,16.0
33.0,Male,Bachelor's,Junior Business Analyst,4.0
46.0,Male,PhD,Senior Data Scientist,18.0
34.0,Male,Master's,Senior Software Developer,8.0
26.0,Female,Bachelor's,Customer Success Rep,1.0
48.0,Female,Bachelor's,HR Manager,18.0
49.0,Female,Master's,Director of Marketing,21.0
43.0,Male,Bachelor's,Senior IT Project Manager,14.0
32.0,Female,Bachelor's,Junior Account Manager,5.0
50.0,Female,Bachelor's,Supply Chain Analyst,22.0
46.0,Male,Master's,Director of Operations,20.0
36.0,Male,Bachelor's,Senior Operations Manager,8.0
35.0,Male,Bachelor's,Senior Operations Analyst,8.0
48.0,Male,PhD,Principal Engineer,20.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0
29.0,Female,Bachelor's,Junior Project Manager,2.0
35.0,Female,Bachelor's,Senior Financial Manager,8.0
44.0,Female,PhD,Senior Business Analyst,15.0
41.0,Female,Master's,Senior Human Resources Manager,13.0
40.0,Female,Bachelor's,Senior Marketing Manager,11.0
46.0,Male,Master's,Senior Project Manager,19.0
37.0,Female,Master's,Senior Marketing Analyst,9.0
35.0,Male,Master's,Senior Software Developer,9.0
45.0,Male,PhD,Senior Data Analyst,17.0
41.0,Male,Bachelor's,Senior Product Manager,14.0
45.0,Male,PhD,Senior Manager,15.0
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0
31.0,Male,Master's,Senior Financial Analyst,6.0
38.0,Male,Master's,Senior IT Consultant,9.0
30.0,Female,Bachelor's,Junior Operations Coordinator,2.0
37.0,Female,Master's,Software Manager,11.0
42.0,Female,Bachelor's,Sales Manager,17.0
44.0,Female,PhD,Senior Product Designer,15.0
31.0,Female,Bachelor's,Junior Business Development Associate,3.0
32.0,Male,Bachelor's,Junior Financial Advisor,4.0
45.0,Male,Bachelor's,Sales Operations Manager,18.0
42.0,Female,Master's,Creative Director,14.0
48.0,Female,Master's,Director of HR,20.0
33.0,Male,Master's,Product Designer,6.0
52.0,Male,PhD,Chief Technology Officer,24.0
33.0,Male,Bachelor's,Junior Product Manager,4.0
36.0,Male,Bachelor's,IT Support Specialist,7.0
33.0,Male,Bachelor's,Senior Product Development Manager,7.0
51.0,Female,Master's,Director of Human Resources,21.0
47.0,Male,PhD,Senior Research Scientist,22.0
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0
33.0,Female,Bachelor's,Junior Marketing Manager,5.0
41.0,Male,Master's,Strategy Consultant,13.0
40.0,Male,Bachelor's,Senior Financial Analyst,12.0
38.0,Female,Master's,Digital Marketing Manager,10.0
38.0,Female,Bachelor's,Senior Business Analyst,10.0
34.0,Female,Master's,Financial Advisor,10.0
33.0,Female,Master's,Senior Financial Analyst,6.0
33.0,Male,Bachelor's,Web Developer,6.0
28.0,Male,Bachelor's,Junior Software Engineer,2.0
35.0,Male,Bachelor's,Financial Analyst,6.0
27.0,Male,Bachelor's,Technical Writer,2.0
43.0,Female,PhD,Senior Consultant,15.0
50.0,Female,Master's,Director of Finance,20.0
33.0,Male,Bachelor's,Junior Software Developer,5.0
40.0,Female,Bachelor's,Senior Marketing Manager,12.0
41.0,Female,Bachelor's,Senior Project Coordinator,11.0
29.0,Female,Bachelor's,Junior Recruiter,3.0
37.0,Male,Master's,Senior Software Architect,9.0
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0
29.0,Male,Bachelor's,Junior Web Designer,3.0
47.0,Male,Master's,Director of Operations,20.0
33.0,Male,Master's,Business Intelligence Analyst,7.0
44.0,Female,PhD,Senior HR Manager,18.0
36.0,Male,Bachelor's,Senior Product Manager,8.0
39.0,Female,Bachelor's,Training Specialist,12.0
29.0,Female,Bachelor's,Junior Business Development Associate,1.5
38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0
36.0,Male,Bachelor's,Senior Accountant,7.0
38.0,Male,Bachelor's,Customer Service Manager,11.0
48.0,Male,Master's,Operations Director,18.0
31.0,Female,Bachelor's,Marketing Coordinator,6.0
44.0,Male,Bachelor's,Senior Software Engineer,13.0
31.0,Male,Bachelor's,Junior HR Generalist,4.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0
35.0,Male,Bachelor's,Senior Financial Manager,9.0
52.0,Male,Master's,Director,20.0
34.0,Female,Master's,Senior Financial Advisor,6.0
36.0,Female,Bachelor's,Senior Marketing Manager,8.0
31.0,Female,Bachelor's,Event Coordinator,5.0
46.0,Male,PhD,Senior Data Scientist,18.0
47.0,Male,Master's,Director of Operations,19.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0
38.0,Female,Master's,Public Relations Manager,10.0
34.0,Female,Master's,Senior Financial Advisor,6.0
29.0,Male,Bachelor's,Marketing Analyst,3.0
45.0,Female,Master's,Director of Marketing,16.0
29.0,Male,Master's,Data Scientist,3.0
44.0,Female,Master's,Senior HR Specialist,15.0
49.0,Female,Master's,Director of Human Capital,21.0
45.0,Female,PhD,Senior UX Designer,16.0
24.0,Male,Bachelor's,Junior Developer,1.0
38.0,Female,Bachelor's,Senior Business Analyst,10.0
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0
,,,,
30.0,Female,Bachelor's,Junior Copywriter,3.0
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0
36.0,Male,Bachelor's,Junior Data Analyst,7.0
40.0,Female,Bachelor's,HR Manager,12.0
39.0,Female,Bachelor's,Administrative Assistant,10.0
32.0,Female,Bachelor's,Marketing Coordinator,4.0
26.0,Female,Bachelor's,Marketing Coordinator,1.0
26.0,Male,Bachelor's,Junior Accountant,1.0
27.0,Male,Bachelor's,Customer Service Rep,2.0
32.0,Female,Bachelor's,Junior Financial Analyst,5.0
34.0,Female,Master's,UX Designer,5.0
31.0,Female,Bachelor's,Junior Financial Analyst,3.0
31.0,Male,Bachelor's,Junior Project Manager,3.0
35.0,Male,Bachelor's,Senior Project Coordinator,9.0
49.0,Female,Master's,Director of Operations,21.0
39.0,Female,Bachelor's,Senior Project Manager,12.0
37.0,Female,Bachelor's,Senior Financial Analyst,9.0
39.0,Female,Bachelor's,Senior Operations Manager,10.0
28.0,Male,Bachelor's,Junior Business Development Associate,2.0
33.0,Male,Bachelor's,Junior Financial Analyst,4.0
35.0,Female,Bachelor's,Senior Financial Manager,8.0
38.0,Male,Master's,Senior IT Consultant,9.0
43.0,Male,Master's,Director of Marketing,18.0
43.0,Male,Master's,Director of Marketing,18.0
45.0,Male,PhD,Senior Data Engineer,16.0
39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0
48.0,Male,Master's,Director of Product Management,21.0
36.0,Female,Bachelor's,Administrative Assistant,8.0
50.0,Female,PhD,Director of Operations,22.0
39.0,Female,Bachelor's,Senior Account Executive,12.0
47.0,Male,Master's,Director of Marketing,19.0
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5
44.0,Male,PhD,Chief Data Officer,16.0
47.0,Male,Master's,VP of Finance,19.0
28.0,Female,Master's,Data Analyst,3.0
25.0,Male,Bachelor's,Help Desk Analyst,0.0
36.0,Male,Bachelor's,Technical Recruiter,8.0
41.0,Female,PhD,Senior Marketing Director,17.0
46.0,Male,PhD,Senior Manager,20.0
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0
29.0,Female,Bachelor's,Sales Associate,3.0
40.0,Female,Bachelor's,Event Coordinator,12.0
42.0,Male,Bachelor's,Senior Operations Manager,12.0
29.0,Male,Bachelor's,Junior Business Analyst,1.5
40.0,Female,Master's,Project Manager,14.0
44.0,Male,Bachelor's,Senior Software Engineer,13.0
46.0,Male,Master's,Senior Project Manager,21.0
47.0,Female,Master's,Director of Marketing,20.0
40.0,Female,Bachelor's,Senior Account Manager,14.0
38.0,Female,Bachelor's,Senior Business Analyst,10.0
44.0,Female,PhD,Senior Data Engineer,16.0
27.0,Male,Bachelor's,Junior Sales Representative,1.0
49.0,Female,Master's,Director of Marketing,21.0
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0
37.0,Male,Bachelor's,Senior Business Development Manager,10.0
46.0,Male,PhD,Senior Data Analyst,19.0
29.0,Female,Bachelor's,Graphic Designer,3.0
51.0,Female,Bachelor's,Customer Service Manager,22.0
26.0,Female,Master's,Junior Data Scientist,1.5
28.0,Male,Bachelor's,Junior Operations Analyst,1.5
29.0,Female,Bachelor's,Junior Project Manager,2.0
34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0
34.0,Male,Master's,Senior Software Engineer,9.0
30.0,Female,Bachelor's,Social Media Manager,4.0
38.0,Male,PhD,Senior Scientist,11.0
44.0,Female,PhD,Senior Data Engineer,16.0
32.0,Male,Bachelor's,Junior Sales Representative,3.0
45.0,Female,PhD,Senior Product Designer,15.0
47.0,Male,Master's,VP of Operations,19.0
33.0,Male,Bachelor's,Junior Business Analyst,4.0
39.0,Female,Bachelor's,Senior Sales Representative,12.0
46.0,Male,PhD,Senior Data Analyst,17.0
47.0,Male,Master's,Director of Business Development,19.0
35.0,Male,Bachelor's,Senior Business Development Manager,7.0
41.0,Male,Bachelor's,Senior Product Manager,14.0
35.0,Male,Bachelor's,Senior Project Coordinator,9.0
42.0,Female,Bachelor's,Senior Project Manager,12.0
45.0,Male,Master's,Director of Sales,19.0
50.0,Female,Master's,Director of Operations,21.0
36.0,Male,Master's,Senior Business Development Manager,11.0
47.0,Male,Master's,Director of Operations,19.0
45.0,Male,Bachelor's,Operations Analyst,20.0
40.0,Female,Bachelor's,HR Generalist,15.0
31.0,Female,Bachelor's,Junior Business Development Associate,3.0
44.0,Male,Bachelor's,Senior Software Engineer,14.0
53.0,Male,Master's,Director of Marketing,25.0
44.0,Female,PhD,Senior Business Analyst,15.0
34.0,Female,Master's,Business Analyst,5.0
50.0,Female,PhD,Director of Sales and Marketing,22.0
39.0,Female,Bachelor's,Recruiter,11.0
30.0,Female,Bachelor's,Digital Content Producer,3.0
45.0,Male,PhD,Senior Data Engineer,16.0
28.0,Female,Bachelor's,Junior Operations Manager,1.0
49.0,Female,Master's,Senior HR Manager,19.0
